,0\O 
70\O ,#\O BoloGuruji\Hin=बोलोगुरुजी kya\Hin=क्या humai\Eng S10\Eng k\Eng liye\Hin=लिये wait\Hin=वाऐत karna\Hin=करना chahiye\Hin=चाहिये ya\Hin=या note\Hin=नोट 9\O laina\Hin=लैय्यिना chaiye\Hin=चाइये 
71\O ,"@\O TechnicalGuruji\Eng #\O BoloGuruji\Hin=बोलोगुरुजी sir\Hin=सिअर koi\Hin=कोई new\Eng idea\Eng hai\Hin=हैं ,\O online\Hin=ओन्लाइन shopping\Eng store\Eng startup\Eng k\Hin=क liye\Hin=लिये "\O 
72\O ,"@\O TechnicalGuruji\Eng #\O Bologuruji\Hin=बोलोगुरुजी Gaurav\Hin=गौरव bhai\Hin=भाई my\Eng budget\Eng is\Eng 65000\O and\Eng I\Eng want\Eng your\Eng suggestion\Eng to\Eng help\Eng me\Eng out\Eng ,\O I\Eng want\Eng an\Eng al\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 5B3CCFvzsO\Eng "\O 
73\O ,"\O RT\Eng @\O Dkabir0\Eng :\O #\O BoloGuruji\Hin=बोलोगुरुजी what's\Eng your\Hin=यर think\Eng about\Eng this\Eng 👇👇\O topic\Eng ,\O you\Eng should\Eng be\Eng make\Eng a\Eng youtube\Eng video\Eng it\Eng .\O You\Eng can\Eng do\Hin=दो it\Eng .\O 
#\O WarAgainstDowry\Eng will\Eng …"\O 
74\O ,"\O Tech\Eng me\Eng thoda\Hin=थोड़ा non\Eng tech\Eng .\O 
Bahot\Hin=बहोत hua\Hin=हुआ mobile\Eng evolution\Eng 
Ab\Hin=अब hoga\Hin=होग beard\Eng evolution\Eng 
Looking\Eng great\Eng guruji\Eng 
#\O beardman\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O 1Bz7hmcx11\Eng "\O 
75\O ,#\O Bologuruji\Hin=बोलोगुरुजी guruji\Hin=गुरुजी kya\Hin=क्या shave\Hin=शेवे krne\Hin=क्र्ने ke\Hin=क Baad\Hin=बाद aapka\Hin=आपका iPhone\Hin=इपोन X\Eng ka\Eng facelock\Eng khula\Hin=खुला tha\Hin=ता ka\Hin=का 
76\O ,@\O TechnicalGuruji\Eng #\O BoloGuruji\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O XBsp9kOZIq\Eng 
77\O ,"@\O TechnicalGuruji\Eng 
Dikh\Hin=दिख Gaye\Hin=गाये aap\Hin=आअप् 
Plzz\Hin=प्ल्ज्ज़ reply\Hin=रिप्लाई Karna\Hin=करना .\O 
#\O BoloGuruji\Hin=बोलोगुरुजी 
#\O mumbiker\Hin=मुंबिकेर nikhil\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ZUZwjvLuzt\Hin=ज़ुज़्व्ज्व्लुज़्ट "\O 
78\O ,"\O Teacher\Hin=टीचर :\O Iss\Hin=इश्स muhaavre\Hin=मुहावरे ka\Hin=का udaahran\Hin=उडाह्रन do\Hin=दो 

‘\O Begaani\Hin=बेगानी shaadi\Hin=शाडी mein\Hin=मेइं Abdullah\Hin=अब्दुल्लाह deewana\Hin=दीवाना ’\O 

Chantu\Hin=चांतु :\O Hindustaaniyon\Hin=हिन्दुस्तानियों ka\Hin=का raat\Hin=राअत् bhar\Hin=भार j\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O AOIyzi1e0z\Eng "\O 
79\O ,\O Hi\Hin=ही guruji\Hin=गुरुजी bohot\Hin=बोहोत ache\Hin=एछे lag\Hin=लाग rahe\Hin=रह ho\Hin=ह iss\Hin=इश्स naye\Hin=नये look\Hin=लुक mein\Hin=मेइं .\O Mera\Hin=मेर sawal\Hin=सवाल hai\Hin=हैं ki\Hin=की Mi\Hin=मी A2\Eng India\Eng mein\Hin=मेइं kab\Hin=काब aur\Hin=अर् kis\Hin=किस price\Hin=प्राइस mein\Hin=मेइं aayga\Hin=आआ …\O https\Eng ://\O t\Eng .\O co\Eng /\O jR4xgTxx8r\Eng 
80\O ,#\O Jio\Hin=जियो has\Eng launches\Eng their\Eng latest\Eng plans\Eng with\Eng 5GB\Eng per\Eng day\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O TbFHcd6iZi\Eng check\Eng it\Eng out\Eng #\O YouTube\Eng #\O Bologuruji\Hin=बोलोगुरुजी …\O https\Eng ://\O t\Eng .\O co\Eng /\O HFFas31IqN\Eng 
81\O ,"@\O TechnicalGuruji\Eng #\O BoloGuruji\Hin=बोलोगुरुजी Gaurav\Hin=गौरव bhaiyya\Hin=भाऐया batao\Hin=बताओ ,\O 
Samsung\Eng Galaxy\Eng J8\Eng or\Eng Redmi\Eng note5\Eng pro\Eng ..\O Konsa\Hin=कोन्सा kharide\Hin=खरीद ?\O 
Aur\Hin=अर् saath\Hin=सात …\O https\Eng ://\O t\Eng .\O co\Eng /\O NOaV1sA3Pm\Eng "\O 
82\O ,\O I\Eng liked\Eng a\Eng @\O YouTube\Eng video\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O ritVGcQGNk\Hin=रीत्व्ग्च्क़्ग्Mक #78\O Sunday\Eng Tech\Eng Masala\Eng -\O USA\Eng Edition\Eng #\O BoloGuruji\Hin=बोलोगुरुजी 
83\O ,@\O AdilAkh14018608\Eng Ar\Eng sir\Hin=सिअर maine\Hin=मैंने to\Hin=तू #\O Kathua\Hin=कठुआ ki\Hin=की bhi\Hin=भही ninda\Hin=निंदा ki\Hin=की aur\Hin=अर् #\O BoloGuruji\Hin=बोलोगुरुजी #\O Asaram\Hin=असरम ki\Hin=की bhi\Hin=भही aur\Hin=अर् #\O unnav\Hin=उन्नव् ki\Hin=की bhi\Hin=भही to\Hin=तू plz\Hin=प्ल्ज़ aa\Hin=आआ …\O https\Eng ://\O t\Eng .\O co\Eng /\O w7TYJtx45E\Eng 
84\O ,"\O gaurav\Hin=गौरव bhiya\Hin=भिया kay\Hin=की aapko\Hin=आपको lagta\Hin=लगता hai\Hin=हैं Electronics\Eng Engineering\Eng ka\Eng Future\Hin=फ्यूचर hai\Hin=हैं 
Robot\Hin=रोबोट ki\Hin=की vajase\Hin=वजसे .\O 
aur\Hin=अर् aap\Hin=आअप् new\Eng look\Eng mai\Hin=माई badhi\Hin=बड़ी …\O https\Eng ://\O t\Eng .\O co\Eng /\O eMs8mVvCVx\Eng "\O 
85\O ,@\O TechnicalGuruji\Eng bhai\Hin=भाई aapne\Hin=आपने tech\Eng talks\Eng ke\Eng website\Eng Bata\Eng do\Hin=दो please\Hin=प्लीअज् bilkul\Hin=बिल्कुल sach\Hin=सच sach\Hin=सच or\Hin=और saare\Hin=सारे (\O all\Eng websites\Eng )#\O BoloGuruji\Eng 
86\O ,#\O Bologuruji\Hin=बोलोगुरुजी HII\Hin=हैं BRO\Hin=बरो .\O I\Hin=इ AM\Hin=आम SUBSCRIBED\Hin=सबस्क्रीबैद YOUR\Hin=यर CHANNEL\Hin=चैनल WHEN\Hin=वेन YOU\Hin=यूं HAVE\Eng 500K\Eng +\O SUB'S\Eng .\O AND\Hin=एंड MY\Hin=मी QUESTION\Hin=केस्शन IS\Hin=इस I\Hin=इ AM\Hin=आम A\Hin=आ STUTTERED\Hin=स्टूटतरड् PE\Hin=पी …\O https\Eng ://\O t\Eng .\O co\Eng /\O ohv1SDXX4w\Eng 
87\O ,"@\O TechnicalGuruji\Eng #\O Bologuruji\Hin=बोलोगुरुजी 3000\O se\Hin=सी 4000\O ke\Hin=क budget\Eng me\Eng printer\Hin=प्रिंटर mil\Hin=मिल sekta\Hin=सेकता he\Hin=ही kya\Hin=क्या ,\O aur\Hin=अर् uska\Hin=उस्का ek\Hin=इक review\Eng de\Eng do\Hin=दो plz\Hin=प्ल्ज़ ...\O Au\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O E9orYNwe8G\Eng "\O 
88\O ,@\O TechnicalGuruji\Eng #\O BoloGuruji\Hin=बोलोगुरुजी Gaurav\Hin=गौरव Bhaiya\Hin=भीया aapne\Hin=आपने bataya\Hin=बताया tha\Hin=ता ki\Hin=की aap\Hin=आअप् apne\Hin=अपने saare\Hin=सारे mobile\Hin=मोबाइले aur\Eng smartphones\Eng ki\Eng collection\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O Ng6JjxHBdy\Eng 
89\O ,"#\O BoloGuruji\Hin=बोलोगुरुजी 
GauravBhaiya\Hin=गौरवभीया Kya\Hin=क्या apko\Hin=अपको programming\Eng Language\Eng ati\Hin=आती hai\Hin=हैं kya\Hin=क्या ?\O 
Ha\Hin=ह to\Hin=तू konsi\Hin=कोन्सी ?\O 
Usase\Hin=उससे Apne\Hin=अपने Kya\Hin=क्या Kya\Hin=क्या Develope\Hin=डेवलप Kiya\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O gBzKqbbQ7S\Eng "\O 
90\O ,@\O BjpBiplab\Hin=ब्ज्प्बिप्लब kitna\Hin=कितना MBPS\Hin=म्ब्प Tha\Eng sir\Hin=सिअर ?\O maha\Hin=महा Bharat\Hin=भारत ka\Hin=का Internet\Eng Speed\Eng ?\O @\O speedtest\Eng bhi\Hin=भही tha\Hin=ता kya\Hin=क्या us\Hin=उस samay\Hin=समाय ?\O Check\Hin=चेक kiya\Hin=किया tha\Hin=ता ar\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O w2JSjIwym7\Eng 
91\O ,#\O bologuruji\Hin=बोलोगुरुजी bhai\Hin=भाई hello\Hin=हेल्लो what's\Hin=वाअत्'अ up\Eng pick\Eng my\Eng question\Hin=केस्शन bhai\Hin=भाई it's\Hin=इत्'अ what's\Eng android\Eng go\Eng please\Eng tell\Hin=टेल me\Hin=मे 
92\O ,@\O TechnicalGuruji\Eng #\O Bologuruji\Eng sir\Hin=सिअर ap\Hin=आप jo\Hin=ज bolte\Hin=बोलते hai\Hin=हैं ki\Hin=की mujhe\Hin=मुझे sir\Hin=सिअर mat\Hin=मत bolo\Hin=बोल ham\Hin=हम vo\Hin=वो apko\Hin=अपको respect\Eng dete\Hin=देतें hai\Hin=हैं because\Eng u\Hin=उ deser\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O q8ZahW4nvL\Eng 
93\O ,"@\O TechnicalGuruji\Eng #\O BoloGuruji\Hin=बोलोगुरुजी aap\Hin=आअप् mujhe\Hin=मुझे iphone\Hin=इपोन 6\O kab\Hin=काब dene\Hin=देने wale\Hin=वाले ho\Hin=ह 😑\EMT 
Giveaway\Eng me\Hin=मे to\Hin=तू nahi\Hin=नाही mila\Hin=मिला almost\Eng 5\O giveaways\Eng mein\Eng …\O https\Eng ://\O t\Eng .\O co\Eng /\O Zkmlu6AMXH\Eng "\O 
94\O ,\O I\Eng liked\Eng a\Eng @\O YouTube\Eng video\Eng https\Eng ://\O t\Eng .\O co\Hin=को /\O QrS4QlWxom\Eng #78\O Sunday\Eng Tech\Eng Masala\Eng -\O USA\Eng Edition\Eng #\O BoloGuruji\Hin=बोलोगुरुजी 
95\O ,#\O NewLook\Eng @\O TechnicalGuruji\Eng #\O beared\Eng #\O shave\Eng #\O REVEALED\Hin=रेवीअलड् #\O Bologuruji\Hin=बोलोगुरुजी #\O FirstTimeOnCamera\Hin=फर्स्त्तीम्य़ोंकैमर #\O AfterShave\Eng https\Eng ://\O t\Eng .\O co\Eng /\O on9MCMS9Qs\Eng 
96\O ,\O I\Eng want\Eng to\Eng purchase\Eng a\Eng samsung\Eng phone\Eng from\Eng dubai\Eng for\Eng use\Eng in\Eng India\Eng .\O Will\Eng it\Eng work\Eng in\Eng India\Eng ?\O What\Eng will\Eng be\Eng the\Eng procedure\Eng fo\Eng …\O https\Eng ://\O t\Eng .\O co\Hin=को /\O WweEsVyyYG\Hin=व्वेस्व्य्य्य्ग 
