,0\O 
673\O ,\O Prem\Hin=प्रीम Ratan\Hin=रतन Dhan\Hin=धान Payo\Eng Posted\Eng #\O PremRatanDhanPayo\Hin=प्रेम्रतन्धन्पो @\O prdp\Hin=प्र्ड्प @\O rajshri\Hin=राज्श्री http\Eng ://\O t\Eng .\O co\Eng /\O hRpbfDYt0k\Eng 
674\O ,\O all\Eng the\Eng best\Eng PC\Eng .\O do\Eng watch\Eng it\Eng guys\Eng .\O #\O quantico\Eng @\O priyankachopra\Eng 
675\O ,\O Oh\Hin=ओह acchha\Hin=अच्छा on\Eng 3rd\Eng oct\Eng .\O 
676\O ,\O Arre\Hin=अर्रे sorry\Hin=शरी pc\Hin=प्ख se\Hin=सी mera\Hin=मेर matlab\Hin=मतलब was\Eng priyanka\Eng Chopra\Eng .\O 
677\O ,\O Wen\Eng is\Eng pc's\Eng show\Eng releasing\Eng in\Eng India\Eng guys\Eng ?\O 
678\O ,\O Good\Eng afternoon\Eng .\O Welcoming\Hin=वेल्कमिंग Sooraj\Eng Barjatya's\Eng Prem\Eng again\Hin=अगान #\O PremRatanDhanPayo\Hin=प्रेम्रतन्धन्पो @\O Rajshri\Hin=राज्श्री @\O foxstarhindi\Eng http\Eng ://\O t\Eng .\O co\Eng /\O QA9IAa02k4\Eng 
679\O ,\O Swaagat\Hin=स्वागत nahin\Hin=नहीं karoge\Hin=करोगे @\O mumbaifilmfest\Hin=मुंबैफ़िल्म्फश्ट ka\Eng ?\O Where\Eng India\Eng Celebrates\Eng Cinema\Eng .\O Register\Eng at\Eng :\O http\Eng ://\O t\Eng .\O co\Eng /\O 8qXcty7Fa9\Eng #\O JioMAMI\Eng http\Eng ://\O t\Eng .\O co\Eng /\O lHTQgfF0XZ\Eng 
680\O ,"\O Creed\Eng Releasing\Eng on\Eng 25th\Eng Nov\Eng @\O TheSlystallone\Eng Looks\Eng Amazing\Eng as\Eng always\Eng 

https\Eng ://\O t\Eng .\O co\Hin=को /\O h2xADQjljD\Hin=ह्2क्सड्क़्ज्ल्ज्ड "\O 
681\O ,\O http\Eng ://\O t\Eng .\O co\Hin=को /\O QWypRAoiUd\Hin=क़्वाइप्राओइउद .\O 
682\O ,\O Some\Eng ppl\Eng click\Eng pics\Eng with\Eng me\Eng and\Eng then\Eng misuse\Eng them\Eng .\O This\Eng is\Eng not\Eng okay\Hin=अकाई .\O 
683\O ,\O A\Eng fake\Eng Facebook\Eng page\Eng claims\Eng that\Eng I\Eng am\Eng casting\Eng for\Eng a\Eng film\Eng .\O Beware\Eng of\Eng fakes\Eng and\Eng rumors\Eng .\O Neither\Eng me\Eng nor\Eng my\Eng managers\Eng are\Eng casting\Eng for\Eng any\Eng project\Eng 
684\O ,\O Chalo\Hin=चलों list\Eng banao\Eng .\O https\Eng ://\O t\Eng .\O co\Eng /\O wbQ2fxw2Vk\Eng 
685\O ,"\O RT\Eng @\O rajcheerfull\Eng :\O #\O BREAKING\Hin=ब्रेअकिंग To\Hin=तू all\Eng @\O BiggBoss\Eng &\O amp\Eng ;\O @\O BeingSalmanKhan\Eng fans\Eng here's\Eng the\Eng first\Eng look\Eng of\Eng #\O biggboss9\Eng 
http\Eng ://\O t\Eng .\O co\Eng /\O p6Qmmd0XoB\Eng Coming\Eng thi\Hin=ती …"\O 
686\O ,\O Thank\Eng you\Eng .\O Appreciate\Eng it\Eng .\O Retweeting\Eng my\Eng other\Eng fans\Eng .\O https\Eng ://\O t\Eng .\O co\Eng /\O 04qIKla57X\Eng 
687\O ,\O Wishing\Eng #\O teamindia\Eng all\Eng the\Eng best\Eng for\Eng the\Eng #\O Hwc2015\Eng .\O Heard\Eng the\Eng girls\Eng r\Eng playing\Eng very\Eng well\Eng @\O slumsoccer\Eng http\Eng ://\O t\Eng .\O co\Eng /\O isNVY783Ck\Eng 
688\O ,\O Signed\Eng some\Eng tickets\Eng of\Eng @\O HeroTheFilm\Eng that\Eng you\Eng had\Eng sent\Eng .\O Keep\Eng sending\Eng .\O Will\Eng sign\Eng more\Eng tomorrow\Eng .\O tag\Hin=तग #\O HeroKaTicket\Hin=हीरोकटिकेट http\Eng ://\O t\Eng .\O co\Hin=को /\O yJfpNfgXr3\Hin=ऐज्फ्प्न्फ्ग्क्स्र्3 
689\O ,\O Pls\Eng vote\Eng for\Eng my\Eng friends\Eng Dimitri\Eng Vegas\Eng and\Eng Like\Eng Mike\Eng as\Eng 1Artist\Eng /\O Group\Eng on\Eng http\Eng ://\O t\Eng .\O co\Eng /\O eeaD7ycwDY\Hin=ईएद्7आइच्व्डी 
690\O ,"\O Thank\Hin=थान्क u\Eng for\Eng all\Eng the\Eng compliments\Eng on\Eng suraj\Hin=सूरज baba\Hin=बाबा and\Hin=एंड athiya\Hin=अतिया for\Eng songs\Eng ,\O dances\Eng n\Eng action\Eng of\Eng hero\Eng .\O Appreciate\Eng it\Eng ."\O 
691\O ,"\O Collections\Eng superb\Eng ,\O whole\Eng team\Eng of\Eng hero\Eng super\Eng happy\Eng vit\Hin=विट em\Hin=एम .\O Wld\Eng not\Eng have\Eng been\Eng possible\Eng vit\Eng out\Hin=आउट u\Hin=उ going\Hin=गोइन्Mग to\Eng see\Eng it\Eng .\O Thank\Hin=थान्क u\Hin=उ ."\O 
692\O ,\O Thanks\Eng to\Eng the\Eng people\Eng who\Eng hv\Hin=ह्व gone\Eng to\Eng see\Eng Hero\Hin=हीरों n\Eng welcomed\Eng suraj\Hin=सूरज n\Hin=न athiya\Hin=अतिया in\Eng the\Eng film\Eng world\Eng n\Hin=न all\Eng those\Eng who\Eng r\Eng going\Eng to\Eng see\Eng it\Eng .\O Lots\Hin=लोट of\Eng respect\Eng 
693\O ,"\O and\Eng if\Eng you\Eng don\Hin=दान ’\O t\Hin=त know\Hin=क्नो where\Eng the\Eng post\Eng office\Eng is\Hin=इस ,\O toh\Hin=तोह ask\Eng your\Eng mom\Hin=मोम ."\O 
694\O ,\O this\Eng is\Eng the\Eng original\Eng way\Eng to\Eng mail\Eng .\O this\Eng is\Eng how\Eng it\Eng was\Eng before\Eng email\Eng and\Eng messaging\Eng and\Eng all\Eng .\O 
695\O ,"\O Send\Eng your\Eng ticket\Eng (\O s\Eng )\O to\Hin=तू P\Hin=प .\O O\Hin=ओ .\O Box\Eng 9808\O Bandra\Eng (\O w\Eng )\O post\Eng office\Eng ,\O Mumbai\Eng  \O 4000050\O .\O Apna\Hin=अप्ना naam\Hin=नाअम् ,\O address\Hin=आद्द्रेस aur\Hin=अर् twitter\Hin=टविअर handle\Hin=हैंड्लअ bhi\Hin=भही likhna\Hin=लिखना ."\O 
696\O ,\O Watch\Hin=वाच Hero\Hin=हीरों .\O Send\Eng me\Hin=मे your\Hin=यर ticket\Hin=टिकेट .\O I\Eng will\Eng sign\Eng 100\O tickets\Eng .\O One\Eng of\Eng them\Eng could\Eng be\Eng yours\Eng .\O 
697\O ,"\O Welcome\Hin=वेल्कमअ them\Eng into\Eng the\Eng film\Eng world\Eng vit\Eng open\Eng arms\Eng vit\Eng enjoying\Eng them\Eng ,\O supporting\Eng ,\O encouraging\Eng them\Eng in\Eng cinemas\Eng vit\Eng cetees\Eng n\Eng taali's\Eng #\O herotomorrow\Eng "\O 
698\O ,"\O Friends\Eng families\Eng ,\O family\Eng friends\Eng hai\Hin=हैं family\Eng .\O http\Eng ://\O t\Eng .\O co\Eng /\O vwF0la7A4L\Eng "\O 
699\O ,\O Bigg\Eng boss\Eng season\Eng 9\O is\Eng mine\Eng .\O #\O biggboss9\Eng promo\Eng shoot\Eng .\O @\O rajcheerfull\Eng @\O ColorsTV\Eng http\Eng ://\O t\Eng .\O co\Eng /\O kr6Gflxf2U\Eng 
700\O ,\O RT\Eng @\O rajcheerfull\Eng :\O Colors\Eng welcomes\Eng #\O BhajrangiBhaijaan\Hin=भजरांगिभैजान @\O BeingSalmanKhan\Hin=बेंग्सलमंखन to\Eng #\O biggboss9\Eng Presented\Eng by\Eng @\O Snapdeal\Eng Powered\Eng by\Eng @\O Oppomobileindia\Hin=आप्पोमोबाइलेऐंदिया Thi\Hin=ती …\O 
701\O ,\O Watch\Hin=वाच #\O OKhuda\Hin=अखुदा http\Eng ://\O t\Eng .\O co\Eng /\O w51aDZcDPq\Eng 
702\O ,\O Watch\Eng @\O HeroTheFilm's\Eng next\Eng track\Eng -\O #\O OKhudaOutTomorrow\Hin=अखुदाउत्तमोर्रो at\Eng 12\O pm\Eng .\O http\Eng ://\O t\Eng .\O co\Eng /\O JRuF385cOE\Eng 
703\O ,\O Happy\Eng bday\Hin=बदाय @\O iamnagarjuna\Hin=इयामनगार्जुना #\O AAA\Hin=आआ &\O amp\Eng ;\O best\Eng of\Eng luck\Eng for\Eng future\Eng @\O akhilakkineni8\Eng &\O amp\Eng ;\O Sayyeshaa\Eng #\O thelegacyliveson\Eng Watch\Eng the\Eng promo\Eng http\Eng ://\O t\Eng .\O co\Eng /\O 9r0wjKSEbX\Eng 
704\O ,\O Vote\Hin=वोट for\Hin=फॉर my\Eng friends\Eng and\Eng favourite\Eng musicians\Eng '\O Dimitri\Eng Vegas\Eng &\O amp\Eng ;\O Like\Eng Mike\Eng ’\O as\Eng 1\O artist\Eng /\O group\Eng on\Eng http\Eng ://\O t\Eng .\O co\Eng /\O eeaD7ycwDY\Eng @\O dimitrivegas\Eng @\O likemike\Eng 
705\O ,"\O Watch\Hin=वाच mere\Eng heroes\Eng ,  @\O soorajpancholi9\Hin=सूरजपंचोलि9   \O and\Hin=एंड  @\O theathiyashetty\Eng   \O ki\Hin=की mind\Hin=मिंद blowing\Eng chemistry\Eng in\Hin=इन  #\O KhoyaKhoya\Hin=खोयखोईआ    \O http\Hin=ह्त्ट्प ://\O t\Eng .\O co\Hin=को /\O CFvhQuw9ya\Hin=च्फ्व्ह्क़ुव्9या "\O 
706\O ,\O HERO\Hin=हीरों ke\Hin=क agle\Hin=अगले gaane\Hin=गाने ke\Hin=क liye\Hin=लिये tayaar\Hin=तैयार ?\O Love\Hin=लव is\Eng in\Eng the\Eng air\Hin=एयर @\O soorajpancholi9\Hin=सूरजपंचोलि9 @\O theathiyashetty\Hin=थीदियाशेट्टी #\O KhoyaKhoya\Hin=खोयखोईआ Tomorrow\Hin=तोमोर्रो at\Eng 11am\Eng http\Eng ://\O t\Eng .\O co\Eng /\O gFJun9d3Oj\Eng 
707\O ,"\O Logon\Eng this\Eng is\Eng the\Eng logo\Eng of\Eng PRDP\Eng ,\O matlab\Hin=मतलब Prem\Hin=प्रीम Ratan\Hin=रतन Dhan\Hin=धान Payo\Hin=पायो .\O Coming\Eng this\Hin=तीस Diwali\Eng http\Eng ://\O t\Eng .\O co\Hin=को /\O cAdWPAAxmT\Hin=काड्व्पक्ष्म्त "\O 
708\O ,\O How\Hin=हो sweet\Eng :)\EMT https\Eng ://\O t\Eng .\O co\Eng /\O ZipNsBP8kX\Eng 
709\O ,\O Kick\Hin=किक n\Hin=न bajrangi\Hin=बाजरांगी bhaijaan\Hin=भैजान k\Hin=क baad\Hin=बाद nawaz\Hin=नवाज़ ki\Hin=की film\Hin=फिल्म Manjhi\Hin=मांझी release\Hin=रिलीअज् hogayi\Hin=होगाई hai\Hin=हैं aaj\Hin=आअय् wishing\Eng @\O Nawazuddin\Eng _\O S\Eng n\Eng the\Eng team\Eng all\Eng the\Eng best\Eng n\Hin=न a\Eng big\Eng hit\Eng .\O 
710\O ,.@\O palakmuchhal3\Eng has\Eng payed\Eng fr\Eng n\Eng completed\Eng 800\O heart\Eng surgeries\Eng single\Eng handedly\Eng .\O Sooo\Hin=सुऊ proud\Eng of\Eng u\Eng palak\Hin=पलक .\O 
711\O ,\O Mere\Hin=मेर Heroes\Eng @\O soorajpancholi9\Hin=सूरजपंचोलि9 and\Hin=एंड @\O theathiyashetty\Eng in\Eng the\Eng heartbreak\Eng song\Eng of\Eng the\Eng year\Eng .\O http\Eng ://\O t\Eng .\O co\Hin=को /\O tNBDwwcWPM\Hin=त्न्ब्दव्व्च्व्प्म #\O YadaanTeriyaanOutNow\Hin=यदाँट्रियानयुटनो 
712\O ,\O No\Eng better\Eng joy\Eng than\Eng a\Eng reunion\Eng .\O http\Eng ://\O t\Eng .\O co\Eng /\O eE6FRgVcCo\Eng 
713\O ,#\O HeroPoster2\Eng for\Eng you\Eng …\O 11th\Eng Sept\Eng .\O ke\Hin=क liye\Hin=लिये taiyaar\Hin=तैयार rehena\Eng http\Eng ://\O t\Eng .\O co\Eng /\O 8gELkorvxM\Hin=8जलकोर्व्क्ष्म 
714\O ,\O Inke\Hin=इनके baare\Hin=बारे main\Hin=मां jald\Hin=जल्ड़ bataunga\Hin=बताऊँगा .\O http\Hin=ह्त्ट्प ://\O t\Eng .\O co\Hin=को /\O HQjZGhfrZg\Hin=ह्क़्ज्ज्घ्फ्र्ज्Yग 
715\O ,\O Will\Hin=विल be\Eng putting\Eng up\Eng some\Eng tweets\Eng tonight\Eng .\O 
716\O ,\O Help\Eng 3\O people\Eng .\O Also\Eng see\Eng Jai\Hin=जाई Ho\Hin=ह now\Hin=नो on\Eng Star\Eng Gold\Eng .\O 
717\O ,\O Happy\Eng independence\Eng day\Eng .\O Jai\Hin=जाई Ho\Hin=ह !\O 
718\O ,\O The\Eng party's\Eng on\Hin=ओं .\O #\O DanceKeLegend\Eng http\Eng ://\O t\Eng .\O co\Eng /\O syM98cd1Z1\Eng 
719\O ,\O RT\Eng @\O theathiyashetty\Eng :\O Watch\Hin=वाच out\Eng for\Eng my\Eng #\O Hero\Hin=हीरों @\O soorajpancholi9\Hin=सूरजपंचोलि9 in\Hin=इन #\O DanceKeLegend\Eng 😍❤️\O http\Eng ://\O t\Eng .\O co\Hin=को /\O YHwiGBXsEQ\Eng 
720\O ,\O http\Eng ://\O t\Eng .\O co\Hin=को /\O 3MuNAh7pFe\Hin=3मुनह्7प्फ #\O DanceKeLegendTeaser\Hin=डांसेकेलेगेंड्तीअसर 
721\O ,"\O Now\Eng on\Eng You\Eng Tube\Eng .\O Enjoy\Eng .\O http\Eng ://\O t\Eng .\O co\Eng /\O UK9VLP7lDb\Eng 
#\O MainHoonHeroTeraOnYT\Hin=मैँहूँहरोटेराव्नाइट "\O 
722\O ,\O By\Eng popular\Eng demand\Eng .\O Schedule\Eng se\Eng ek\Hin=इक din\Hin=दिन pehle\Hin=पहले .\O Dekho\Hin=देखो full\Hin=फुल gaana\Hin=गाना sirf\Hin=सिर्फ़ hotstar\Hin=होट्स्टर par\Hin=प्यार abhi\Eng .\O http\Eng ://\O t\Eng .\O co\Eng /\O 1I2NI5xfn6\Eng #\O MainHoonHeroTera\Hin=मैँहूँहरोटेरा 
723,2\O of\Eng my\Eng fav\Eng actors\Eng in\Eng 1\O film\Eng .\O @\O pulkitsamrat\Eng @\O riteishd\Hin=रीतेइश्ड़ #\O Bangistan\Eng 
724\O ,\O Amazing\Eng .\O http\Eng ://\O t\Eng .\O co\Eng /\O LBy559axAT\Eng 
725\O ,"\O Yeh\Hin=यह dekho\Hin=देखो http\Eng ://\O t\Eng .\O co\Hin=को /\O jL4wBrUXkm\Hin=ज्ल्4अव्ब्र्क्स्क्म .\O Special\Eng preview\Eng on\Eng 7th\Eng Aug\Eng at\Eng 8\O :\O 59pm\Eng IST\Eng on\Eng Star\Eng Network\Eng ,\O Star\Eng Gold\Eng &\O amp\Eng ;\O Hotstar\Hin=होट्स्टर .\O #\O MainHoonHeroTeraTeaser\Hin=मैँहूँहरोटेरतीअसर "\O 
726\O ,"\O Being\Eng Human\Eng clothing\Eng is\Eng now\Eng available\Eng in\Eng Jaipur\Hin=जयपुर ,\O Kolhapur\Hin=कोल्हापुर ,\O Lucknow\Hin=लूक्नो ,\O Mohali\Hin=मोहली and\Eng Rajkot\Eng .\O 

http\Eng ://\O t\Eng .\O co\Hin=को /\O xtS0modtwW\Hin=क्स्त्स्0मोड्टव्व् "\O 
727\O ,\O http\Eng ://\O t\Eng .\O co\Eng /\O tlJ62l6XH8\Eng 
728\O ,\O Watch\Eng bba\Eng in\Hin=इन Jaanisar\Hin=जानिसार http\Eng ://\O t\Eng .\O co\Eng /\O LNVR07gXZf\Eng 
729\O ,\O his\Eng last\Eng tweet\Eng .\O i\Hin=इ salute\Eng him\Eng .\O https\Eng ://\O t\Eng .\O co\Hin=को /\O UiTeUJeEbh\Hin=उइट्युजीभ 
730\O ,\O Kalam\Hin=कलम saab\Hin=साब was\Eng an\Eng amazing\Eng teacher\Eng and\Eng also\Eng an\Eng amazing\Eng student\Eng .\O Yeh\Hin=यह dekho\Hin=देखो .\O https\Eng ://\O t\Eng .\O co\Eng /\O dJvMBuz9F7\Eng 
731\O ,\O I\Eng will\Eng miss\Eng Kalam\Hin=कलम saab\Hin=साब .\O India\Eng will\Eng miss\Eng him\Eng .\O https\Eng ://\O t\Eng .\O co\Eng /\O dAq8FMcnVL\Eng 
732\O ,"\O when\Hin=वेन ur\Hin=उर heart\Eng says\Eng you\Eng should\Eng meet\Eng someone\Eng ,\O don't\Eng delay\Eng .\O i\Hin=इ always\Eng wanted\Eng to\Eng meet\Eng Kalam\Hin=कलम saab\Hin=साब and\Hin=एंड i\Eng should\Eng have\Eng made\Eng the\Eng effort\Eng .\O my\Eng loss\Eng ."\O 
733\O ,"\O ek\Hin=इक scientist\Hin=साइंटिस्ट tha\Hin=ता ,\O hai\Hin=हैं aur\Hin=अर् rahega\Hin=रहेगा .\O His\Eng teachings\Eng will\Eng always\Eng be\Eng with\Eng us\Eng ."\O 
734\O ,\O Kalam\Hin=कलम saab\Hin=साब was\Eng an\Eng amazing\Eng teacher\Eng and\Eng in\Eng his\Eng last\Eng tweet\Eng he\Eng said\Eng he\Eng is\Eng on\Eng his\Eng way\Eng to\Eng iim\Hin=आईम .\O 
735\O ,"\O as\Eng scientist\Eng and\Eng as\Eng President\Eng ,\O Kalam\Eng saab\Hin=साब was\Eng a\Eng true\Eng inspiration\Eng for\Eng many\Eng generations\Eng of\Eng Indians\Eng ."\O 
736\O ,\O never\Eng had\Eng the\Eng opportunity\Eng to\Eng meet\Hin=मीत kalam\Hin=कलम saab\Hin=साब but\Hin=बुत always\Eng loved\Eng and\Eng respected\Eng him\Eng .\O 
737\O ,\O I\Eng also\Eng strongly\Eng condemn\Eng those\Eng who\Eng are\Eng claiming\Eng my\Eng tweets\Eng are\Eng anti\Eng religious\Eng .\O I\Eng have\Eng always\Eng said\Eng I\Eng respect\Eng all\Eng faiths\Eng and\Eng I\Eng always\Eng will\Eng .\O 
738\O ,\O I\Eng would\Eng like\Eng to\Eng unconditionally\Eng apologise\Eng for\Eng any\Eng misunderstanding\Eng I\Eng may\Eng have\Eng created\Eng unintentionally\Eng .\O 
739\O ,\O My\Eng dad\Eng called\Eng &\O amp\Eng ;\O said\Eng I\Eng should\Eng retract\Eng my\Eng tweets\Eng as\Eng they\Eng have\Eng the\Eng potential\Eng to\Eng create\Eng misunderstanding\Eng .\O I\Eng here\Eng by\Eng retract\Eng them\Eng .\O 
740\O ,\O Many\Eng lives\Eng were\Eng lost\Eng in\Eng the\Eng Mumbai\Eng blasts\Eng .\O And\Hin=एंड I\Eng have\Eng repeatedly\Eng said\Eng the\Eng loss\Eng of\Eng one\Eng innocent\Eng life\Eng is\Eng equal\Eng to\Eng the\Eng loss\Eng of\Eng all\Eng humanity\Eng .\O 
741\O ,\O I\Eng have\Eng not\Eng said\Eng or\Eng implied\Eng that\Eng Yakub\Eng Memon\Hin=मेमोन is\Eng innocent\Eng .\O I\Eng have\Eng complete\Eng faith\Eng in\Eng the\Eng judicial\Eng system\Eng of\Eng our\Eng country\Eng .\O 
742\O ,\O I\Eng had\Eng tweeted\Eng that\Eng Tiger\Eng Memon\Eng should\Eng hang\Eng for\Eng his\Eng crimes\Eng and\Eng I\Eng stand\Eng by\Eng it\Eng .\O What\Hin=वाअत i\Eng also\Eng said\Eng is\Eng that\Eng Yakub\Eng Memon\Eng should\Eng not\Eng hang\Eng for\Eng him\Eng .\O 
743\O ,\O i\Hin=इ love\Hin=लव you\Hin=यूं too\Eng :\O https\Eng ://\O t\Eng .\O co\Hin=को /\O 3n0OatimUM\Hin=3M0ओअतीमम 
744\O ,\O Bajrangi\Hin=बाजरांगी Bhaijaan\Hin=भैजान is\Eng tax\Eng free\Eng in\Eng UP\Eng .\O We\Hin=वी thank\Eng the\Eng Govt\Eng of\Eng Uttar\Eng Pradesh\Hin=प्रदेश .\O @\O yadavakhilesh\Hin=यादवखिलेश 
745\O ,"\O Must\Eng read\Eng .\O Geography\Eng with\Eng Bajrangi\Hin=बाजरांगी Bhaijaan\Hin=भैजान .\O 

http\Eng ://\O t\Eng .\O co\Hin=को /\O ORpLzBqVKP\Hin=आर्प्ल्ज्ब्क़्व्क्प http\Eng ://\O t\Eng .\O co\Eng /\O 5IT854CdBY\Eng "\O 
746\O ,\O Enjoy\Hin=एंजॉय eid\Hin=एइअद 
747\O ,\O RAEESSSSSSS\Hin=रस ah\Hin=आह raha\Hin=रह hai\Hin=हैं .\O Filhaal\Hin=फ़िल्हाल teaser\Hin=टीअसर dekho\Hin=देखो aur\Hin=अर् enjoy\Eng karo\Hin=करो behaad\Hin=बह्द् 
748\O ,\O Aah\Hin=आअह् raha\Hin=रह hai\Hin=हैं .\O 
749\O ,\O S\Hin=स 
750\O ,\O E\Hin=ए 
751\O ,\O A\Hin=आ 
752\O ,\O R\Hin=र 
753\O ,"\O Watch\Eng the\Eng All\Eng for\Eng Hope\Eng campaign\Eng by\Eng my\Hin=मी Friends\Eng at\Eng Fortis\Eng @\O fortis\Eng _\O hospital\Eng 

#\O AllForHope\Eng #\O HandsOfHope\Hin=हंडसौफोप -\O http\Eng ://\O t\Eng .\O co\Eng /\O sPNPhmLzYG\Eng "\O 
754\O ,\O Wld\Eng lv\Eng n\Eng respect\Eng if\Eng the\Eng leaders\Eng of\Eng Indo-Pak\Eng see\Hin=से Bajrangi\Hin=बाजरांगी Bhaijaan\Hin=भैजान bcoz\Hin=ब्कोज़ lv\Hin=ल्व for\Eng children\Eng is\Eng above\Eng all\Eng boundaries\Eng @\O narendramodi\Eng #\O nawazsharif\Hin=नवाज़्शरीफ़ 
755\O ,\O Thanku\Eng Pakistan\Eng censor\Eng board\Eng for\Eng your\Eng generosity\Eng http\Eng ://\O t\Eng .\O co\Hin=को /\O LoeygABesz\Hin=लोएईआबेस्ज़ 
756\O ,\O Shaant\Hin=शान्त raho\Hin=रहों bacho\Hin=बचो aur\Hin=अर् dekho\Hin=देखो Hero\Hin=हीरों ka\Hin=का trailer\Hin=ट्रेलर Bajrangi\Hin=बाजरांगी Bhaijaan\Hin=भैजान mein\Hin=मेइं #\O HeroWithBB\Hin=हीरोइद्ब्ब .\O Samje\Hin=सम्झअ ki\Hin=की nahi\Hin=नाही ?\O 
757\O ,\O Apne\Hin=अपने callers\Eng ko\Eng greet\Eng karo\Hin=करो meri\Hin=मेरी awaaz\Hin=आवाज़ mein\Hin=मेइं .\O Goto\Eng http\Eng ://\O t\Eng .\O co\Eng /\O xPc7sG5EYA\Eng 
758\O ,\O v\Eng r\Eng spkg\Eng to\Eng http\Eng ://\O t\Eng .\O co\Hin=को /\O rSI5iV2DRq\Hin=रसि5ईव्2द्र्क़ for\Eng worldwide\Eng delivery\Eng .\O coming\Eng soon\Eng .\O 
759\O ,"\O Promise\Hin=प्रोमिसे kiya\Hin=किया tha\Hin=ता .\O Overseas\Eng fans\Eng ke\Hin=क like\Eng official\Eng Bajragi\Hin=बाजरागी Bhaijaan\Hin=भैजान pendant\Eng .\O Ab\Hin=अब Dubai\Hin=डुबई mein\Hin=मेइं avlbl\Hin=अव्ल्ब्ल at\Eng PNG\Eng Jewellers\Eng ,\O Meena\Eng Bazaar\Hin=बाज़ार ."\O 
760\O ,\O Ye\Hin=ये raha\Hin=रह trailer\Eng ..\O http\Eng ://\O t\Eng .\O co\Eng /\O N91Kgbkk0F\Eng #\O herotrailer\Eng 
761\O ,\O http\Eng ://\O t\Eng .\O co\Eng /\O uKJD682H1g\Eng 
762\O ,\O Poster\Eng accha\Hin=अच्चा laga\Hin=लग ?\O Now\Eng follow\Eng my\Eng heroes\Eng @\O soorajpancholi9\Hin=सूरजपंचोलि9 @\O THEATHIYASHETTY\Hin=थीदियाशेट्टी come\Hin=कौमअ back\Eng tom\Eng at\Eng 5pm\Eng to\Eng catch\Eng the\Eng Trailer\Eng !\O #\O HeroPoster\Hin=हीरोपोस्टर 
763\O ,"\O For\Eng overseas\Eng fans\Eng who\Eng want\Eng the\Eng official\Eng pendant\Eng ,\O we\Eng hear\Eng you\Eng .\O Pls\Eng wait\Eng till\Eng Wednesday\Hin=वीड़नेसदाय for\Eng details\Eng ."\O 
764\O ,"\O The\Eng official\Eng Bajrangi\Hin=बाजरांगी Bhaijaan\Hin=भैजान pendant\Eng .\O avlbl\Eng only\Eng at\Eng PNG\Eng ,\O Silvostyle\Eng &\O amp\Eng ;\O Being\Eng Human\Eng stores\Eng in\Eng India\Eng and\Eng at\Eng amazon\Eng .\O in\Eng http\Eng ://\O t\Eng .\O co\Eng /\O pmHLwmupGx\Eng "\O 
765\O ,\O Always\Eng hv\Hin=ह्व n\Eng vil\Eng respect\Eng all\Eng faiths\Eng arre\Eng have\Eng them\Eng all\Eng in\Eng my\Eng own\Eng house\Eng under\Eng 1\O roof\Eng .\O 
766\O ,"\O anti\Eng religious\Eng msg's\Eng doing\Eng the\Eng rounds\Eng using\Eng my\Eng name\Eng don't\Eng believe\Eng these\Eng rumors\Eng ,\O not\Eng true\Eng at\Eng all\Eng Informed\Eng the\Eng police\Eng ,\O they\Eng r\Eng taking\Eng action\Eng ."\O 
767\O ,\O The\Eng play\Eng is\Eng called\Eng .\O MERA\Hin=मेर VO\Hin=वो MATLAB\Hin=मतलब NAHI\Hin=नाही THA\Hin=ता .\O Nena\Eng gupta\Hin=गुप्त rakesh\Hin=रकेश bedi\Hin=बेदी r\Eng outstanding\Eng too\Eng .\O For\Eng any\Eng further\Eng info\Eng tweet\Hin=तवीट @\O anupampkher\Hin=अनूपम्पकेर .\O 
768\O ,"\O Oh\Hin=ओह ho\Hin=ह oh\Hin=ओह ho\Hin=ह wat\Hin=वाट an\Eng amazing\Eng play\Eng @\O anupampkher\Hin=अनूपम्पकेर is\Eng fantastic\Eng in\Eng it\Eng ,\O it's\Eng jst\Eng superb\Eng n\Eng now\Eng he\Eng is\Eng showing\Eng in\Eng U\Eng S\Hin=स frm\Hin=फ्र्म the\Eng 7th\Eng august\Eng ,\O must\Eng watch\Eng "\O 
769\O ,\O 4pm\Eng baje\Hin=बजे karenge\Hin=करेंगे .\O direct\Hin=दिरिक्ट baat\Hin=बात mere\Hin=मेर saath\Hin=सात .\O 
770\O ,\O 3\O .\O 30pm\Eng today\Eng ..\O be\Eng there\Eng !\O https\Eng ://\O t\Eng .\O co\Eng /\O haeMfk4mGA\Eng http\Eng ://\O t\Eng .\O co\Eng /\O t1mnX3VdT9\Eng 
771\O ,\O Yeh\Hin=यह Lo\Hin=ल !\O #\O ZindagiKuchTohBata\Hin=ज़िंदगिकुच्तोहबता mein\Hin=मेइं http\Eng ://\O t\Eng .\O co\Eng /\O qCuYjn87N7\Eng 
772\O ,\O Live\Eng Q\Eng &\O amp\Eng ;\O A\Hin=आ kal\Hin=का .\O Mere\Hin=मेर FB\Eng page\Eng par\Eng -\O 3\O .\O 30pm\Eng http\Eng ://\O t\Eng .\O co\Eng /\O PjxohwzFoa\Eng 
